case_id,activity_sequence,activity,start_timestamp,end_timestamp,duration_seconds,event_count
batch_01,1,Idle,2023-01-01 00:00:00,2023-01-01 00:02:00,120.0,3
batch_01,2,Fill,2023-01-01 00:03:00,2023-01-01 00:05:00,120.0,3
batch_01,3,HeatUp,2023-01-01 00:06:00,2023-01-01 00:06:00,0.0,1
batch_01,4,Fill,2023-01-01 00:07:00,2023-01-01 00:07:00,0.0,1
batch_01,5,HeatUp,2023-01-01 00:08:00,2023-01-01 00:08:00,0.0,1
batch_01,6,Fill,2023-01-01 00:09:00,2023-01-01 00:09:00,0.0,1
batch_01,7,HeatUp,2023-01-01 00:10:00,2023-01-01 00:12:00,120.0,3
batch_01,8,Hold,2023-01-01 00:13:00,2023-01-01 00:17:00,240.0,5
batch_01,9,Cool,2023-01-01 00:18:00,2023-01-01 00:20:00,120.0,3
batch_01,10,Discharge,2023-01-01 00:21:00,2023-01-01 00:21:00,0.0,1
batch_01,11,Cool,2023-01-01 00:22:00,2023-01-01 00:23:00,60.0,2
batch_02,1,Idle,2023-01-01 00:00:00,2023-01-01 00:00:00,0.0,1
batch_02,2,Fill,2023-01-01 00:01:00,2023-01-01 00:07:00,360.0,7
batch_02,3,HeatUp,2023-01-01 00:08:00,2023-01-01 00:10:00,120.0,3
batch_02,4,Fill,2023-01-01 00:11:00,2023-01-01 00:13:00,120.0,3
batch_02,5,Hold,2023-01-01 00:14:00,2023-01-01 00:17:00,180.0,4
batch_02,6,Cool,2023-01-01 00:18:00,2023-01-01 00:20:00,120.0,3
batch_02,7,Discharge,2023-01-01 00:21:00,2023-01-01 00:21:00,0.0,1
batch_02,8,Cool,2023-01-01 00:22:00,2023-01-01 00:23:00,60.0,2
batch_03,1,Idle,2023-01-01 00:00:00,2023-01-01 00:00:00,0.0,1
batch_03,2,Fill,2023-01-01 00:01:00,2023-01-01 00:07:00,360.0,7
batch_03,3,HeatUp,2023-01-01 00:08:00,2023-01-01 00:09:00,60.0,2
batch_03,4,Fill,2023-01-01 00:10:00,2023-01-01 00:10:00,0.0,1
batch_03,5,HeatUp,2023-01-01 00:11:00,2023-01-01 00:11:00,0.0,1
batch_03,6,Fill,2023-01-01 00:12:00,2023-01-01 00:13:00,60.0,2
batch_03,7,Hold,2023-01-01 00:14:00,2023-01-01 00:17:00,180.0,4
batch_03,8,Cool,2023-01-01 00:18:00,2023-01-01 00:20:00,120.0,3
batch_03,9,Discharge,2023-01-01 00:21:00,2023-01-01 00:21:00,0.0,1
batch_03,10,Cool,2023-01-01 00:22:00,2023-01-01 00:23:00,60.0,2
